username,email,password
shoptest_0001,shoptest_0001@test.com,TestPass@123
shoptest_0002,shoptest_0002@test.com,TestPass@123
shoptest_0003,shoptest_0003@test.com,TestPass@123
shoptest_0004,shoptest_0004@test.com,TestPass@123
shoptest_0005,shoptest_0005@test.com,TestPass@123
shoptest_0006,shoptest_0006@test.com,TestPass@123
shoptest_0007,shoptest_0007@test.com,TestPass@123
shoptest_0008,shoptest_0008@test.com,TestPass@123
shoptest_0009,shoptest_0009@test.com,TestPass@123
shoptest_0010,shoptest_0010@test.com,TestPass@123
shoptest_0011,shoptest_0011@test.com,TestPass@123
shoptest_0012,shoptest_0012@test.com,TestPass@123
shoptest_0013,shoptest_0013@test.com,TestPass@123
shoptest_0014,shoptest_0014@test.com,TestPass@123
shoptest_0015,shoptest_0015@test.com,TestPass@123
shoptest_0016,shoptest_0016@test.com,TestPass@123
shoptest_0017,shoptest_0017@test.com,TestPass@123
shoptest_0018,shoptest_0018@test.com,TestPass@123
shoptest_0019,shoptest_0019@test.com,TestPass@123
shoptest_0020,shoptest_0020@test.com,TestPass@123
shoptest_0021,shoptest_0021@test.com,TestPass@123
shoptest_0022,shoptest_0022@test.com,TestPass@123
shoptest_0023,shoptest_0023@test.com,TestPass@123
shoptest_0024,shoptest_0024@test.com,TestPass@123
shoptest_0025,shoptest_0025@test.com,TestPass@123
shoptest_0026,shoptest_0026@test.com,TestPass@123
shoptest_0027,shoptest_0027@test.com,TestPass@123
shoptest_0028,shoptest_0028@test.com,TestPass@123
shoptest_0029,shoptest_0029@test.com,TestPass@123
shoptest_0030,shoptest_0030@test.com,TestPass@123
shoptest_0031,shoptest_0031@test.com,TestPass@123
shoptest_0032,shoptest_0032@test.com,TestPass@123
shoptest_0033,shoptest_0033@test.com,TestPass@123
shoptest_0034,shoptest_0034@test.com,TestPass@123
shoptest_0035,shoptest_0035@test.com,TestPass@123
shoptest_0036,shoptest_0036@test.com,TestPass@123
shoptest_0037,shoptest_0037@test.com,TestPass@123
shoptest_0038,shoptest_0038@test.com,TestPass@123
shoptest_0039,shoptest_0039@test.com,TestPass@123
shoptest_0040,shoptest_0040@test.com,TestPass@123
shoptest_0041,shoptest_0041@test.com,TestPass@123
shoptest_0042,shoptest_0042@test.com,TestPass@123
shoptest_0043,shoptest_0043@test.com,TestPass@123
shoptest_0044,shoptest_0044@test.com,TestPass@123
shoptest_0045,shoptest_0045@test.com,TestPass@123
shoptest_0046,shoptest_0046@test.com,TestPass@123
shoptest_0047,shoptest_0047@test.com,TestPass@123
